employeeNumber,lastName,firstName,email
1611,Fixter,Andy,afixter@classicmodelcars.com
1143,Bow,Anthony,abow@classicmodelcars.com
1504,Jones,Barry,bjones@classicmodelcars.com
1002,Murphy,Diane,dmurphy@classicmodelcars.com
1286,Tseng,"Foon Yue",ftseng@classicmodelcars.com
1323,Vanauf,George,gvanauf@classicmodelcars.com
1102,Bondur,Gerard,gbondur@classicmodelcars.com
1370,Hernandez,Gerard,ghernande@classicmodelcars.com
1076,Firrelli,Jeff,jfirrelli@classicmodelcars.com
1188,Firrelli,Julie,jfirrelli@classicmodelcars.com
1501,Bott,Larry,lbott@classicmodelcars.com
1165,Jennings,Leslie,ljennings@classicmodelcars.com
1166,Thompson,Leslie,lthompson@classicmodelcars.com
1337,Bondur,Loui,lbondur@classicmodelcars.com
1621,Nishi,Mami,mnishi@classicmodelcars.com
1702,Gerard,Martin,mgerard@classicmodelcars.com
1056,Patterson,Mary,mpatterso@classicmodelcars.com
1401,Castillo,Pamela,pcastillo@classicmodelcars.com
1612,Marsh,Peter,pmarsh@classicmodelcars.com
1216,Patterson,Steve,spatterson@classicmodelcars.com
1619,King,Tom,tking@classicmodelcars.com
1088,Patterson,William,wpatterson@classicmodelcars.com
1625,Kato,Yoshimi,ykato@classicmodelcars.com
